sleeper_id,name,team,pos,opp,proj,pass_att,pass_comp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,two_pt,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,sacks,defs_int,defs_fum_rec,defs_td,safety,blk_kick,ret_td,pts_allowed
11566,Jayden Daniels,WAS,QB,@DAL,22.88,34.3,20.88,226.6,1.78,0.59,7.61,46.03,0.31,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4046,Patrick Mahomes,KC,QB,LV,22.69,35.85,22.24,251.32,2.01,0.63,6.4,35.45,0.21,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3294,Dak Prescott,DAL,QB,WAS,20.85,40.21,24.38,285.41,2.2,0.71,2.0,8.46,0.2,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6904,Jalen Hurts,PHI,QB,@MIN,19.71,29.54,18.8,199.35,1.15,0.88,11.04,45.3,0.69,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11564,Drake Maye,NE,QB,@TEN,19.03,32.52,21.17,241.5,1.78,0.84,4.32,28.24,0.31,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6797,Justin Herbert,LAC,QB,IND,20.08,34.24,23.64,251.03,1.72,0.73,5.01,24.69,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4892,Baker Mayfield,TB,QB,@DET,18.52,34.58,23.48,237.06,1.65,0.8,4.56,24.52,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3163,Jared Goff,DET,QB,TB,18.29,35.17,23.68,265.13,2.18,0.67,1.0,2.56,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6804,Jordan Love,GB,QB,@ARI,17.52,30.93,20.93,246.47,1.81,0.72,5.04,19.59,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11560,Caleb Williams,CHI,QB,NO,17.77,31.8,19.79,219.01,1.82,0.6,4.45,23.4,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5870,Daniel Jones,IND,QB,@LAC,16.64,33.08,20.95,231.66,1.34,0.89,5.14,21.41,0.29,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11563,Bo Nix,DEN,QB,NYG,17.57,32.23,19.88,208.65,1.41,0.71,4.97,23.89,0.2,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7591,Justin Fields,NYJ,QB,CAR,17.15,28.17,16.27,168.78,0.92,0.86,10.19,52.76,0.41,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,Matthew Stafford,LAR,QB,@JAX,16.16,33.49,22.62,253.16,1.83,0.67,0.68,2.25,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7527,Mac Jones,SF,QB,ATL,16.21,36.37,23.99,233.26,1.88,1.01,1.51,4.12,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7523,Trevor Lawrence,JAX,QB,LAR,16.09,31.73,20.45,225.73,1.31,0.8,3.57,15.43,0.3,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9758,C.J. Stroud,HOU,QB,@SEA,14.94,29.55,19.91,226.99,1.27,0.79,4.97,27.82,0.1,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4943,Sam Darnold,SEA,QB,HOU,14.7,29.15,19.02,219.7,1.4,0.84,3.19,11.74,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12508,Jaxson Dart,NYG,QB,@DEN,14.93,31.05,18.74,196.08,0.96,0.77,6.25,35.23,0.19,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Aaron Rodgers,PIT,QB,@CIN,15.72,29.28,20.22,230.61,1.73,0.73,0.92,2.78,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3161,Carson Wentz,MIN,QB,PHI,15.54,31.32,20.27,221.53,1.54,0.81,3.5,10.21,0.1,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11559,Michael Penix Jr.,ATL,QB,@SF,14.76,32.79,20.92,222.3,1.41,0.94,2.49,7.27,0.2,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9228,Bryce Young,CAR,QB,@NYJ,15.14,31.58,17.62,191.58,1.17,0.7,1.72,8.71,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Joe Flacco,CIN,QB,PIT,14.44,32.19,21.72,221.55,1.55,0.7,0.71,1.48,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11562,Spencer Rattler,NO,QB,@CHI,14.62,32.38,20.32,201.75,1.25,0.9,3.77,25.93,0.1,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3257,Jacoby Brissett,ARI,QB,GB,15.02,32.22,21.2,213.43,1.2,0.88,2.45,13.55,0.21,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12522,Cam Ward,TEN,QB,NE,12.12,31.59,19.49,191.2,1.13,0.87,1.78,8.05,0.1,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1373,Geno Smith,LV,QB,@KC,12.29,30.98,20.89,205.61,1.04,1.13,1.69,8.75,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6768,Tua Tagovailoa,MIA,QB,@CLE,10.86,31.14,19.49,193.41,1.05,0.67,2.3,5.33,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12486,Dillon Gabriel,CLE,QB,MIA,11.59,30.74,18.67,179.25,0.95,0.71,1.32,7.03,0.1,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4034,Christian McCaffrey,SF,RB,ATL,24.24,0.0,0.0,0.0,0.0,0.0,19.28,59.38,0.63,6.38,50.14,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9509,Bijan Robinson,ATL,RB,@SF,21.71,0.0,0.0,0.0,0.0,0.0,17.71,80.39,0.31,4.77,58.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6813,Jonathan Taylor,IND,RB,@LAC,20.32,0.0,0.0,0.0,0.0,0.0,20.73,101.52,0.57,3.57,22.44,0.19,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9221,Jahmyr Gibbs,DET,RB,TB,18.83,0.0,0.0,0.0,0.0,0.0,15.23,75.33,0.6,3.93,24.23,0.29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9226,De'Von Achane,MIA,RB,@CLE,18.47,0.0,0.0,0.0,0.0,0.0,19.19,63.51,0.49,4.29,30.3,0.31,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4866,Saquon Barkley,PHI,RB,@MIN,17.57,0.0,0.0,0.0,0.0,0.0,13.4,70.9,0.7,3.35,23.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8150,Kyren Williams,LAR,RB,@JAX,17.95,0.0,0.0,0.0,0.0,0.0,17.06,78.93,0.5,2.91,23.68,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5850,Josh Jacobs,GB,RB,@ARI,17.58,0.0,0.0,0.0,0.0,0.0,17.28,75.0,0.69,2.97,21.89,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7588,Javonte Williams,DAL,RB,WAS,16.94,0.0,0.0,0.0,0.0,0.0,19.09,84.92,0.49,3.16,13.9,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8136,Rachaad White,TB,RB,@DET,16.85,0.0,0.0,0.0,0.0,0.0,20.66,60.63,0.5,3.98,27.73,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8155,Breece Hall,NYJ,RB,CAR,16.5,0.0,0.0,0.0,0.0,0.0,16.76,73.84,0.48,2.94,28.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12481,Cam Skattebo,NYG,RB,@DEN,16.38,0.0,0.0,0.0,0.0,0.0,17.69,76.23,0.39,2.96,27.13,0.1,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12527,Ashton Jeanty,LV,RB,@KC,15.54,0.0,0.0,0.0,0.0,0.0,16.78,69.09,0.61,2.41,18.34,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12533,Jacory Croskey-Merritt,WAS,RB,@DAL,15.68,0.0,0.0,0.0,0.0,0.0,19.19,82.12,0.7,1.98,17.14,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12512,Quinshon Judkins,CLE,RB,MIA,16.66,0.0,0.0,0.0,0.0,0.0,21.52,93.58,0.71,1.42,9.96,0.1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7021,Rico Dowdle,CAR,RB,@NYJ,15.06,0.0,0.0,0.0,0.0,0.0,15.6,74.95,0.5,2.78,16.28,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228,Jaylen Warren,PIT,RB,@CIN,15.38,0.0,0.0,0.0,0.0,0.0,14.07,47.96,0.31,3.15,37.23,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11647,Kimani Vidal,LAC,RB,IND,13.86,0.0,0.0,0.0,0.0,0.0,14.78,68.48,0.58,2.32,13.61,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6790,D'Andre Swift,CHI,RB,NO,13.95,0.0,0.0,0.0,0.0,0.0,16.25,53.24,0.49,2.79,20.96,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7543,Travis Etienne,JAX,RB,LAR,13.38,0.0,0.0,0.0,0.0,0.0,17.31,82.64,0.41,2.0,11.23,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6806,J.K. Dobbins,DEN,RB,NYG,13.96,0.0,0.0,0.0,0.0,0.0,15.5,79.48,0.73,0.86,4.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408,Jordan Mason,MIN,RB,PHI,13.45,0.0,0.0,0.0,0.0,0.0,15.64,72.66,0.58,1.74,8.68,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9224,Chase Brown,CIN,RB,PIT,12.69,0.0,0.0,0.0,0.0,0.0,14.21,43.05,0.51,3.27,16.97,0.21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4035,Alvin Kamara,NO,RB,@CHI,12.88,0.0,0.0,0.0,0.0,0.0,12.56,53.73,0.29,3.29,23.29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5892,David Montgomery,DET,RB,TB,11.9,0.0,0.0,0.0,0.0,0.0,13.25,50.21,0.6,1.61,14.37,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7567,Kenneth Gainwell,PIT,RB,@CIN,11.81,0.0,0.0,0.0,0.0,0.0,10.55,35.55,0.59,3.37,13.95,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7611,Rhamondre Stevenson,NE,RB,@TEN,12.27,0.0,0.0,0.0,0.0,0.0,12.16,47.21,0.39,2.15,24.64,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5967,Tony Pollard,TEN,RB,NE,11.4,0.0,0.0,0.0,0.0,0.0,14.93,63.3,0.3,1.87,14.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11589,Zonovan Knight,ARI,RB,GB,11.77,0.0,0.0,0.0,0.0,0.0,15.44,59.55,0.4,2.13,14.42,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8151,Kenneth Walker,SEA,RB,HOU,10.62,0.0,0.0,0.0,0.0,0.0,13.49,60.26,0.4,1.32,8.74,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7607,Michael Carter,ARI,RB,GB,10.81,0.0,0.0,0.0,0.0,0.0,10.47,43.9,0.2,2.69,17.81,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12529,TreVeyon Henderson,NE,RB,@TEN,9.62,0.0,0.0,0.0,0.0,0.0,9.79,36.95,0.19,2.58,14.92,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8205,Isiah Pacheco,KC,RB,LV,9.59,0.0,0.0,0.0,0.0,0.0,13.54,52.87,0.21,1.59,12.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12489,RJ Harvey,DEN,RB,NYG,9.54,0.0,0.0,0.0,0.0,0.0,7.08,28.85,0.1,2.59,23.64,0.21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12474,Woody Marks,HOU,RB,@SEA,8.88,0.0,0.0,0.0,0.0,0.0,8.67,33.08,0.2,1.96,14.94,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4988,Nick Chubb,HOU,RB,@SEA,8.29,0.0,0.0,0.0,0.0,0.0,12.1,44.29,0.41,1.19,7.94,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9508,Tyjae Spears,TEN,RB,NE,8.25,0.0,0.0,0.0,0.0,0.0,7.6,28.96,0.2,2.01,15.47,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9753,Zach Charbonnet,SEA,RB,HOU,7.13,0.0,0.0,0.0,0.0,0.0,8.59,33.01,0.4,0.93,5.28,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7594,Chuba Hubbard,CAR,RB,@NYJ,6.68,0.0,0.0,0.0,0.0,0.0,11.67,50.17,0.2,0.58,4.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
